cyrillic	latin
культива	kultiva
культиватор	kultivator
культивация	kultivatsiya
культуризм	kulturizm
куниаль	kunial
курьер	kuryer
кьят	kyat
лаврицид	lavritsid
лагерь	lager
лактация	laktatsiya
лактобациллин	laktobatsillin
ламинация	laminatsiya
ландольфия	landolfiya
ланцет	lanset
ларвицид	larvitsid
латунь	latun
левомицетин	levomitsetin
легитимация	legitimatsiya
лейкоцитлар	leykotsitlar
лейкоцитоз	leykotsitoz
лейкоэнцефалит	leykoensefalit
лейцин	leysin
лейцит	leysit
лекция	leksiya
лецин	letsin
либерализация	liberalizatsiya
лизоцим	lizotsim
лингвофольклор	lingvofolklor
линкомицин	linkomitsin
лицей	litsey
лицензион	litsenzion
лицензия	litsenziya
лиценциат	litsensiat
локализация	lokalizatsiya
локация	lokatsiya
локомобиль	lokomobil
лосось	losos
лосьон	loson
лоцман	losman
люменисценция	lyumenissensiya
люминесцент	lyuminessent
люминесценция	lyuminessensiya
лютеций	lyutetsiy
магистраль	magistral
мадемуазель	mademuazel
мазь	maz
майонез	mayonez
майор	mayor
макрель	makrel
макрогельминт	makrogelmint
макроконцентрация	makrokonsentratsiya
макрорельеф	makrorelyef
макросъёмка	makrosyomka
макроэволюция	makroevolyutsiya
мальва	malva
мальсекко	malsekko
мальталик	maltalik
мальтоза	maltoza
мальтус	maltus
манипуляция	manipulyatsiya
маньеризм	manyerizm
маньяк	manyak
марганец	marganets
марганцовка	margansovka
марсельеза	marseleza
матрица	matritsa
мебель	mebel
мегавольт	megavolt
мегагерц	megagers
мегажоуль	megajoul
мегарельеф	megarelyef
мегацикл	megatsikl
медаль	medal
медальон	medalyon
медицина	meditsina
мезальянс	mezalyans
мезокотиль	mezokotil
мезорельеф	mezorelyef
меланокарцинома	melanokarsinoma
мелиорация	melioratsiya
мельхиор	melxior
менингоэнцефалит	meningoensefalit
менструация	menstruatsiya
меньшевизм	menshevizm
меньшевик	menshevik
меньшевист	menshevist
мергель	mergel
металлизация	metallizatsiya
метаналь	metanal
метасульф	metasulf
метациклин	metatsiklin
метацин	metatsin
метизация	metizatsiya
метилцеллюлоза	metilsellyuloza
метросальпингит	metrosalpingit
механизация	mexanizatsiya
механизациялаш	mexanizatsiyalash
механизациялашмоқ	mexanizatsiyalashmoq
механицизм	mexanitsizm
меццо-сопрано	messo-soprano
миграция	migratsiya
мигрень	migren
мизансцена	mizanssena
микровольт	mikrovolt
микроинсульт	mikroinsult
микрокалькулятор	mikrokalkulyator
микромодуль	mikromodul
микрообъект	mikroobyekt
микропроцесс	mikroprotsess
микрорайон	mikrorayon
микрорельеф	mikrorelyef
микросъёмка	mikrosyomka
микрофильм	mikrofilm
микрофтальм	mikroftalm
микроцефалия	mikrotsefaliya
микроэволюция	mikroevolyutsiya
миксомицет	miksomitset
милдью	mildyu
милитаризация	militarizatsiya
милиционер	militsioner
милиция	militsiya
милицияхона	militsiyaxona
милливольт	millivolt
миль	mil
минерализация	mineralizatsiya
миноносец	minonosets
миоцен	miotsen
мистицизм	mistitsizm
митральеза	mitralyeza
миттельшпиль	mittelshpil
мицелий	mitseliy
мицелла	mitsella
мишьяк	mishyak
мобилизацион	mobilizatsion
мобилизация	mobilizatsiya
модель	model
модельер	modelyer
модернизация	modernizatsiya
модернизацияламоқ	modernizatsiyalamoq
модильон	modilyon
модификация	modifikatsiya
модуль	modul
мойупа	moyupa
мольберт	molbert
монастирь	monastir
моновакцина	monovaksina
моноклиналь	monoklinal
монокль	monokl
монокультоура	monokultoura
монокультура	monokultura
мономицин	monomitsin
монополь	monopol
монорельс	monorels
моноцентр	monotsentr
моноцикл	monotsikl
морастель	morastel
мотель	motel
мотобатальон	motobatalyon
мотодельтаплан	motodeltaplan
мотоцикл	mototsikl
мотоциклет	mototsiklet
мотоциклетчи	mototsikletchi
мотоциклли	mototsiklli
мотоциклчи	mototsiklchi
мульда	mulda
мульти	multi
мульти-	multi-
мультимедия	multimediya
мультимиллионер	multimillioner
мультипликатор	multiplikator
мультипликацион	multiplikatsion
мультипликация	multiplikatsiya
мультицепс	multitseps
мультициклон	multitsiklon
мультсериал	multserial
мульттомоша	multtomosha
мульттўплам	multtoʻplam
мультфильм	multfilm
муниципал	munitsipal
муниципализация	munitsipalizatsiya
муниципалитет	munitsipalitet
мустье	mustye
муфель	mufel
муцин	mutsin
навигация	navigatsiya
натурализация	naturalizatsiya
национализация	natsionalizatsiya
нацист	natsist
некрополь	nekropol
нельма	nelma
ненец	nenes
ненецлар	nenetslar
неоконфуцийчи	neokonfutsiychi
неомицин	neomitsin
нефть	neft
никель	nikel
нимпальто	nimpalto
ниппель	nippel
нитроглицерин	nitroglitserin
нитроцеллюлоза	nitrotsellyuloza
новомицин	novomitsin
новоциллин	novotsillin
ноль	nol
номинация	nominatsiya
нонпарель	nonparel
нормаль	normal
нострификация	nostrifikatsiya
ноябрь	noyabr
нуллификация	nullifikatsiya
нуль	nul
область	oblast
облигация	obligatsiya
оброгация	obrogatsiya
обсервация	observatsiya
объект	obyekt
объектив	obyektiv
объективизм	obyektivizm
объективист	obyektivist
объективлик	obyektivlik
оккультизм	okkultizm
оккупацион	okkupatsion
оккупация	okkupatsiya
оккупациячи	okkupatsiyachi
октябрь	oktyabr
операцион	operatsion
операция	operatsiya
операциявий	operatsiyaviy
оппозицион	oppozitsion
оппозиция	oppozitsiya
оппозициячи	oppozitsiyachi
оппозоцион	oppozotsion
опцион	opsion
ординарец	ordinarets
ориентация	oriyentatsiya
остеомаляция	osteomalyatsiya
отель	otel
офицер	ofitser
официант	ofitsiant
официантка	ofitsiantka
офтальмолог	oftalmolog
офтальмология	oftalmologiya
очередь	ochered
павильон	pavilyon
пальма	palma
пальмазор	palmazor
пальпация	palpatsiya
пальто	palto
пальтобоп	paltobop
пальтолик	paltolik
панель	panel
параллель	parallel
пароль	parol
партьер	partyer
патруль	patrul
пациент	patsiyent
пацифизм	patsifizm
пацифист	patsifist
пацифистик	patsifistik
педаль	pedal
пенальти	penalti
пенициллин	penitsillin
пениццилин	penitsilin
пестицид	pestitsid
пестицидлар	pestitsidlar
петиция	petitsiya
петлица	petlitsa
печать	pechat
печенье	pechenye
печь	pech
пигментация	pigmentatsiya
пинцет	pinset
пиранья	piranya
пиреномицет	pirenomitset
пицца	pissa
пиццерия	pisseriya
плантация	plantatsiya
пластирь	plastir
плацдарм	plasdarm
плацента	platsenta
плацкарт	plaskart
плацкарта	platskarta
плацкартали	platskartali
плебисцит	plebissit
плейстоцен	pleystotsen
плиоцен	pliotsen
повесть	povest
подстанция	podstansiya
подъезд	podyezd
подъёмник	podyomnik
позицион	pozitsion
позиция	pozitsiya
пойабзал	poyabzal
пойабзалчи	poyabzalchi
пойабзалчилик	poyabzalchilik
пойандоз	poyandoz
пойафзал	poyafzal
пойустун	poyustun
поливакцина	polivaksina
поливинилацетат	polivinilatsetat
полиоэнцефалит	polioensefalit
полисульф	polisulf
полицентр	politsentr
полиция	politsiya
полициячи	politsiyachi
полицмейстер	politsmeyster
поллюция	pollyutsiya
полька	polka
популяция	populyatsiya
портландцемент	portlandsement
портфель	portfel
порция	porsiya
поршень	porshen
потенциал	potensial
потенциометр	potensiometr
почтальон	pochtalyon
предохранитель	predoxranitel
презентация	prezentatsiya
премьер	premyer
премьер-министр	premer-ministr
премьера	premera
пресс-конференция	press-konferensiya
пресс-папье	press-pape
пресс-секретарь	press-sekretar
преференция	preferensiya
прецедент	pretsedent
прецессия	pretsessiya
преципитат	pretsipitat
преципитация	pretsipitatsiya
приватизация	privatizatsiya
принцип	prinsip
принципиал	prinsipial
принципиаллик	prinsipiallik
принципли	prinsipli
принципсиз	prinsipsiz
пристань	pristan
прицеп	pritsep
провинциализм	provinsializm
провинция	provinsiya
провокацион	provokatsion
провокация	provokatsiya
продуцент	produtsent
проекция	proyeksiya
проекцияламоқ	proyeksiyalamoq
прокламация	proklamatsiya
пролонгация	prolongatsiya
пропорционал	proporsional
пропорционаллик	proporsionallik
пропорция	proporsiya
простациклин	prostatsiklin
протекционизм	proteksionizm
протуберанец	protuberanes
профиль	profil
процедура	protsedura
процент	protsent
процентли	protsentli
процентчи	protsentchi
процесс	protsess
процессор	protsessor
процессуал	protsessual
псевдореминисценция	psevdoreminissensiya
псевдоцирроз	psevdotsirroz
публицист	publitsist
публицистик	publitsistik
публицистика	publitsistika
пудель	pudel
пульверизатор	pulverizator
пульверизация	pulverizatsiya
пульмонолог	pulmonolog
пульмонология	pulmonologiya
пульпа	pulpa
пульпит	pulpit
пульс	puls
пульт	pult
пунктуацион	punktuatsion
пунктуация	punktuatsiya
пункция	punksiya
пьезо	pyezo
пьезокварц	pyezokvars
пьеса	pyesa
радиацион	radiatsion
радиация	radiatsiya
радиоальтиметр	radioaltimetr
радиодеталь	radiodetal
радиоимпульс	radioimpuls
радиоинсценировка	radioinssenirovka
радиоконцерт	radiokonsert
радиолокацион	radiolokatsion
радиолокация	radiolokatsiya
радиолюминесценция	radiolyuminessensiya
радиомультфильм	radiomultfilm
радионавигацион	radionavigatsion
радионавигация	radionavigatsiya
радиопьеса	radiopyesa
радиоспектакль	radiospektakl
радиостанция	radiostansiya
радиофильм	radiofilm
разъезд	razyezd
район	rayon
ранец	ranets
рантье	rante
ратификация	ratifikatsiya
раувольфия	rauvolfiya
рафинация	rafinatsiya
рафинациялаш	rafinatsiyalash
рацион	ratsion
рационал	ratsional
рационализатор	ratsionalizator
рационализаторлик	ratsionalizatorlik
рационализация	ratsionalizatsiya
рационализм	ratsionalizm
рационалист	ratsionalist
рационлаллашмоқ	ratsionlallashmoq
рация	ratsiya
рашпиль	rashpil
реабилитация	reabilitatsiya
реакцион	reaksion
реакционер	reaksioner
реакция	reaksiya
реакциячи	reaksiyachi
реализация	realizatsiya
реальгар	realgar
реанимация	reanimatsiya
ревакцинация	revaksinatsiya
ревальвация	revalvatsiya
револьвер	revolver
революцион	revolyutsion
революционер	revolyutsioner
революция	revolyutsiya
регенерация	regeneratsiya
регистрация	registratsiya
редакцион	redaksion
редакция	redaksiya
редукция	reduksiya
редупликация	reduplikatsiya
редуцент	redutsent
резекция	rezeksiya
резиденция	rezidensiya
резольвента	rezolventa
резолюция	rezolyutsiya
резорцин	rezorsin
резьба	rezba
резьбали	rezbali
реинвестиция	reinvestitsiya
рейхсканцлер	reyxskansler
реквизиция	rekvizitsiya
рекламация	reklamatsiya
рекогносцировка	rekognossirovka
рекомендация	rekomendatsiya
реконструкция	rekonstruksiya
реконструкцияламоқ	rekonstruksiyalamoq
рельеф	relyef
рельс	rels
рельсли	relsli
рельссиз	relssiz
ремилитаризация	remilitarizatsiya
реминисценция	reminissensiya
рентабель	rentabel
репарация	reparatsiya
репатриция	repatritsiya
репетиция	repetitsiya
реприватизация	reprivatizatsiya
репродукция	reproduksiya
реставрация	restavratsiya
ретрансляция	retranslyatsiya
ретушь	retush
реформация	reformatsiya
рефракция	refraksiya
рецензент	retsenzent
рецензия	retsenziya
рецепт	retsept
рецепторлар	retseptorlar
рецепция	retsepsiya
рецесс	retsess
рецидив	retsidiv
рецидивист	retsidivist
реципиент	retsipiyent
рециркуляция	retsirkulyatsiya
реэвакуация	reevakuatsiya
реэмиграция	reemigratsiya
ригель	rigel
риель	riyel
ритурнель	riturnel
рицарлик	ritsarlik
рицарь	ritsar
родентицид	rodentitsid
роль	rol
рольганг	rolgang
ротацион	rotatsion
рояль	royal
рубильник	rubilnik
рубль	rubl
руль	rul
румпель	rumpel
сажъ	saj’
салицил	salitsil
сальвадор	salvador
сальварсан	salvarsan
сальвиния	salviniya
сальдо	saldo
сальмонелл	salmonell
сальпинг	salping
сальплар	salplar
сальто	salto
санация	sanatsiya
санациялаш	sanatsiyalash
санкция	sanksiya
сапропель	sapropel
сассапариль	sassaparil
секретарь	sekretar
секреция	sekretsiya
секция	seksiya
селекцион	seleksion
селекция	seleksiya
селекциячи	seleksiyachi
селекциячилик	seleksiyachilik
сельдерей	selderey
сельдь	seld
сенсацион	sensatsion
сенсация	sensatsiya
сентябрь	sentabr
сеньор	senor
сеньора	senora
сигнализация	signalizatsiya
силиций	silitsiy
синька	sinka
синькаламоқ	sinkalamoq
сирень	siren
ситуация	situatsiya
скальпель	skalpel
скептицизм	skeptitsizm
сланец	slanets
слесарь	slesar
соболь	sobol
сол	sol
соль	sol
сомеъ	some’
социал	sotsial
социал-демократ	sotsial-demokrat
социал-демократик	sotsial-demokratik
социал-демократия	sotsial-demokratiya
социализация	sotsializatsiya
социализм	sotsializm
социалист	sotsialist
социалистик	sotsialistik
социолингвистика	sotsiolingvistika
социолог	sotsiolog
социологик	sotsiologik
социология	sotsiologiya
спектакль	spektakl
спекуляция	spekulyatsiya
специфик	spetsifik
специфика	spetsifika
спецификация	spetsifikatsiya
спираль	spiral
стабилизация	stabilizatsiya
станция	stansiya
статья	statya
стационар	statsionar
стелька	stelka
стержень	sterjen
стерилизация	sterilizatsiya
стиль	stil
стоицизм	stoitsizm
стронций	stronsiy
субстанция	substansiya
субъ	sub’
субъект	subyekt
субъектив	subyektiv
субъективизм	subyektivizm
субъективист	subyektivist
субъективлик	subyektivlik
субъидам	sub’idam
судья	sudya
судьялик	sudyalik
суиистеъмол	suiiste’mol
сульфат	sulfat
сульфатлар	sulfatlar
сценарий	ssenariy
сценарийчи	ssenariychi
сценарист	ssenarist
сцинтиграф	ssintigraf
съезд	syezd
съёмка	syomka
табель	tabel
таблица	tablitsa
тальк	talk
тантьема	tantyema
танца	tansa
танцачи	tansachi
тафоценоз	tafotsenoz
текстиль	tekstil
телеинсценировка	teleinssenirovka
телекоммуникация	telekommunikatsiya
телемедицина	telemeditsina
телемеханизация	telemexanizatsiya
телеобъектив	teleobyektiv
телеспектакль	telespektakl
телефильм	telefilm
тельфер	telfer
тенденциоз	tendensioz
тенденциозлик	tendensiozlik
тенденция	tendensiya
теплица	teplitsa
теплоизоляция	teploizolyatsiya
термоизоляция	termoizolyatsiya
терцет	terset
терцина	tersina
терция	tersiya
тетрациклин	tetratsiklin
технеций	texnetsiy
тигель	tigel
тильда	tilda
тиосульф	tiosulf
токарь	tokar
толь	tol
тоннель	tonnel
тонфильм	tonfilm
топообъект	topoobyekt
топоцентр	topotsentr
традицион	traditsion
традиция	traditsiya
транскрипцион	transkripsion
транскрипция	transkripsiya
транскрипцияламоқ	transkripsiyalamoq
транслитерация	transliteratsiya
трансляцион	translyatsion
трансляция	translyatsiya
трансплантация	transplantatsiya
трансформация	transformatsiya
трансформацияламоқ	transformatsiyalamoq
трансцендент	transsendent
трапеция	trapetsiya
трельяж	trelyaj
трепанация	trepanatsiya
триамцинолон	triamsinolon
триболюминесценция	tribolyuminessensiya
трифоль	trifol
трихоцефалёз	trixotsefalyoz
трицепс	tritseps
трюфель	tryufel
туннель	tunnel
тушь	tush
тюлень	tyulen
тюль	tyul
уборшица	uborshitsa
узурпация	uzurpatsiya
ульва	ulva
ультиматум	ultimatum
ультра	ultra
ультра-	ultra-
ультрабинафша	ultrabinafsha
ультрамикроскоп	ultramikroskop
ультратовуш	ultratovush
ультрақисқа	ultraqisqa
умивальник	umivalnik
умумцивилизация	umumsivilizatsiya
унификация	unifikatsiya
унификациялаштирмоқ	unifikatsiyalashtirmoq
унтер-офицер	unter-ofitser
урбанизация	urbanizatsiya
устрица	ustritsa
утиль	util
фагоцит	fagotsit
факульт	fakult
факультатив	fakultativ
факультет	fakultet
факультетлаларо	fakultetlalaro
фальсифик	falsifik
фальсифика	falsifika
фальсификатор	falsifikator
фальсификация	falsifikatsiya
фальцет	falset
фальцовка	falsovka
фармацевт	farmatsevt
фармацевтика	farmatsevtika
фармация	farmatsiya
фасциол	fassiol
фасция	fassiya
февраль	fevral
федерация	federatsiya
фельдмаршал	feldmarshal
фельдфебель	feldfebel
фельдшер	feldsher
фельдъегерь	feldyeger
фельетон	feleton
фельетончи	feletonchi
фельзит	felzit
фенацетин	fenatsetin
фенхель	fenxel
ферзь	ferz
ферментация	fermentatsiya
ферровольфрам	ferrovolfram
ферромарганец	ferromarganes
ферросилиций	ferrosilitsiy
фестиваль	festival
физкультура	fizkultura
физкультурачи	fizkulturachi
фикомицет	fikomitset
фильм	film
фильм-концерт	film-konsert
фильмоскоп	filmoskop
фильмотека	filmoteka
фильтр	filtr
фильтрация	filtratsiya
фильтрламоқ	filtrlamoq
фильтрли	filtrli
фитогельминт	fitogelmint
фитонцид	fitonsid
фитоцен	fitotsen
фланель	flanel
фланец	flanes
флуоресцент	fluoressent
флуоресценция	fluoressensiya
флюоресцент	flyuoressent
флюоресценция	flyuoressensiya
фожиъ	foji’
фольга	folga
фольклор	folklor
фольклорист	folklorist
фольклористика	folkloristika
фольклорчи	folklorchi
фольклоршунос	folklorshunos
фольклоршунослик	folklorshunoslik
фонарь	fonar
форель	forel
форзац	forzas
формальдегид	formaldegid
формация	formatsiya
фортепьяно	fortepyano
фосфоресценция	fosforessensiya
фотоальбом	fotoalbom
фотоателье	fotoatelye
фотогальваник	fotogalvanik
фотолюминесценция	fotolyuminessensiya
фотомодель	fotomodel
фотообъектив	fotoobyektiv
фоторецепция	fotoretsepsiya
фотосъёмка	fotosyomka
фракцион	fraksion
фракциоонер	fraksiooner
фракция	fraksiya
франций	fransiy
франция	fransiya
француз	fransuz
французлар	fransuzlar
французча	fransuzcha
фрикаделька	frikadelka
фриц	fris
фульбе	fulbe
фунгицид	fungitsid
функционал	funksional
функция	funksiya
фурацилин	furatsilin
фурьер	furyer
фьючерс	fyuchers
халцедон	xalsedon
халькозин	xalkozin
халькопирит	xalkopirit
халькофил	xalkofil
хальцид	xalsid
хемилюминесценция	xemilyuminessensiya
хеморецепция	xemoretsepsiya
хемосорбция	xemosorbsiya
хлорацетофенон	xloratsetofenon
хлорсульфон	xlorsulfon
хмель	xmel
холецистит	xoletsistit
холодильник	xolodilnik
хромель	xromel
хрусталь	xrustal
цанга	sanga
цапфа	sapfa
цедра	sedra
цезерин	sezerin
цезий	seziy
цезура	sezura
цейнерит	seynerit
цейтнот	seytnot
целестин	selestin
целиакия	seliakiya
целлофан	sellofan
целлулоид	selluloid
целлюлаза	sellyulaza
целлюлит	sellyulit
целлюлоза	sellyuloza
целлюляр	sellyulyar
целом	selom
целостат	selostat
цельсий	selsiy
цемент	sement
цементламоқ	sementlamoq
ценз	senz
цензор	senzor
цензура	senzura
ценогенез	senogenez
цент	sent
центнер	sentner
центнерли	sentnerli
центнерчи	sentnerchi
централизм	sentralizm
центризм	sentrizm
центриоль	sentriol
центрист	sentrist
центрифуга	sentrifuga
цеолит	seolit
цервикал	servikal
цервицит	servitsit
церезин	serezin
цереус	sereus
церий	seriy
церкоспороз	serkosporoz
церуссит	serussit
цесарка	sesarka
цестод	sestod
цефал	sefal
цефеида	sefeida
цех	sex
цеце	setse
циан	sian
цианли	sianli
цивилизатор	sivilizator
цивилизация	sivilizatsiya
цивилист	sivilist
циган	sigan
цигара	sigara
цигарка	sigarka
цикада	sikada
цикл	sikl
циклик	siklik
цикллаштирмоқ	sikllashtirmoq
циклли	siklli
циклон	siklon
циклотрон	siklotron
цикорий	sikoriy
цикута	sikuta
цилиндр	silindr
цилиндрик	silindrik
цилиндрли	silindrli
цимбал	simbal
цинга	singa
цинерария	sinerariya
цинизм	sinizm
цинк	sink
цинкограф	sinkograf
цинкография	sinkografiya
цинния	sinniya
цион	sion
цирк	sirk
цирконий	sirkoniy
циркуль	sirkul
циркуляр	sirkulyar
циркчи	sirkchi
цирроз	sirroz
циста	sista
цистерна	sisterna
цистернали	sisternali
цистит	sistit
цистицеркоз	sistitserkoz
цистография	sistografiya
цистоскоп	sistoskop
цитата	sitata
цитатабозлик	sitatabozlik
цито	sito
цито-	sito-
цитодиагностика	sitodiagnostika
цитокимё	sitokimyo
цитолиз	sitoliz
цитология	sitologiya
цитр	sitr
цитраль	sitral
цитрус	sitrus
циферблат	siferblat
циферблатли	siferblatli
цицеро	sitsero
цоколь	sokol
цунами	sunami
чарльстон	charlston
червец	cherves
черепица	cherepitsa
чизель	chizel
шагрень	shagren
шамолдвигатель	shamoldvigatel
шампань	shampan
шампиньон	shampinyon
шампунь	shampun
швейцар	shveysar
шельф	shelf
шерсть	sherst
шинель	shinel
шиньон	shinyon
шифоньер	shifonyer
шлица	shlitsa
шмуцроль	shmusrol
шмуцтитул	shmustitul
шницель	shnitsel
шпатель	shpatel
шпиль	shpil
шпилька	shpilka
шпиндель	shpindel
шприц	shpris
шпулька	shpulka
шрапнель	shrapnel
штангенциркуль	shtangensirkul
штапель	shtapel
штемпель	shtempel
штепсель	shtepsel
штиль	shtil
штихель	shtixel
штольня	shtolnya
эвакуация	evakuatsiya
эвальвация	evalvatsiya
эвольвента	evolventa
эволюцион	evolyutsion
эволюция	evolyutsiya
эгоцентр	egotsentr
эгоцентризм	egotsentrizm
эдельвейс	edelveys
экзальтация	ekzaltatsiya
экзофтальм	ekzoftalm
эковольфрам	ekovolfram
экоцид	ekotsid
эксгумация	eksgumatsiya
экспедицион	ekspeditsion
экспедиция	ekspeditsiya
экспедициячи	ekspeditsiyachi
эксплуатацион	ekspluatatsion
эксплуатация	ekspluatatsiya
эксплуатациячи	ekspluatatsiyachi
экспозиция	ekspozitsiya
экспроприация	ekspropriatsiya
экстрадиция	ekstraditsiya
экстракция	ekstraksiya
эксцентрик	ekssentrik
эксцентриситет	ekssentrisitet
электрификация	elektrifikatsiya
электродвигатель	elektrodvigatel
электролюминесценция	elektrolyuminessensiya
электромобиль	elektromobil
электронвольт	elektronvolt
электропечь	elektropech
электростанция	elektrostansiya
электроэнцефало	elektroensefalo
электрфильтр	elektrfiltr
эмаль	emal
эмансипация	emansipatsiya
эмиграция	emigratsiya
эмоционал	emotsional
эмоционаллик	emotsionallik
эмоция	emotsiya
эмпириокритицизм	empiriokrititsizm
эмульгатор	emulgator
эмульс	emuls
эмульсия	emulsiya
эндшпиль	endshpil
энофтальм	enoftalm
энтальпия	entalpiya
энцефал	ensefal
энцефалит	ensefalit
энцефалограмма	ensefalogramma
энциклопедик	ensiklopedik
энциклопедист	ensiklopedist
энциклопедия	ensiklopediya
энциклопедиячи	ensiklopediyachi
эоцен	eotsen
эпикотиль	epikotil
эпицентр	epitsentr
эпицикл	epitsikl
эргокальциферол	ergokalsiferol
эритромицин	eritromitsin
эритроцитлар	eritrotsitlar
эрудиция	eruditsiya
эскадрилья	eskadrilya
эскалация	eskalatsiya
эсминец	esmines
эспарцет	esparset
эссенция	essensiya
этилацетат	etilatsetat
этиленгликоль	etilenglikol
этилцеллюлоза	etilsellyuloza
этнофольклор	etnofolklor
этнофольклористика	etnofolkloristika
юань	yuan
юзцентнерчи	yuzsentnerchi
юрисдикция	yurisdiksiya
юрисконсульт	yuriskonsult
юриспруденция	yurisprudensiya
юстиция	yustitsiya
якорь	yakor
январь	yanvar
яримпальто	yarimpalto
ёд	yod